Hours Studied,Attendance,Sleep Hours,Tutoring Sessions,Physical Activity,Exam Score,Extracurricular Activities_Yes,Internet Access_Yes,School Type_Public,Parental Involvement,Resource Access,Motivation Level,Family Income,Teacher Quality,Parental Education Level
23,84,7,0,3,67,False,True,True,0,2,0,0,1,0
19,64,8,2,4,61,False,True,True,0,1,0,1,1,1
24,98,7,2,4,74,True,True,True,1,1,1,1,1,2
29,89,8,1,4,71,True,True,True,0,1,1,1,1,0
19,92,6,3,4,70,True,True,True,1,1,1,1,2,1
19,88,8,3,3,71,True,True,True,1,1,1,1,1,2
29,84,7,1,2,67,True,True,False,1,0,0,0,1,0
25,78,6,1,2,66,True,True,True,0,2,1,2,2,0
17,94,6,0,1,69,False,True,False,1,2,2,1,0,1
23,98,8,0,5,72,True,True,True,1,1,1,2,2,0
17,80,8,4,4,68,False,False,False,0,2,1,1,2,1
17,97,6,2,2,71,True,True,False,1,2,0,0,2,0
21,83,8,2,4,70,True,True,True,1,1,0,1,1,0
9,82,8,2,3,66,True,True,False,1,1,1,1,1,2
10,78,8,1,4,65,True,True,False,1,2,1,0,1,2
17,68,8,2,4,64,False,True,False,1,1,1,1,1,0
14,60,10,0,3,60,True,True,False,1,0,0,2,1,1
22,70,6,1,3,65,True,True,True,0,1,1,0,2,0
15,80,9,3,2,67,True,True,True,1,1,0,0,1,1
12,75,7,3,4,66,True,True,False,1,2,1,1,1,1
29,78,5,0,1,69,False,True,True,1,1,2,2,1,0
19,99,6,1,3,72,False,True,True,1,2,1,1,2,0
20,74,8,1,2,66,False,True,True,1,2,0,1,1,1
11,78,8,1,3,66,True,True,True,2,1,2,0,1,0
17,65,5,2,3,63,True,True,True,0,2,1,0,1,0
21,62,6,0,3,64,True,True,True,2,0,2,2,2,2
13,91,6,1,2,65,False,True,True,0,1,1,2,1,0
22,83,6,0,2,71,True,True,True,2,2,1,2,1,1
16,90,4,1,3,66,False,True,True,1,1,1,0,1,0
18,66,4,2,2,64,False,True,False,2,2,0,0,1,1
16,83,6,0,4,63,False,True,True,0,1,1,2,0,0
31,70,7,1,3,69,True,True,True,1,2,1,2,1,1
20,69,8,2,3,67,True,True,True,1,1,1,1,2,0
14,60,5,2,3,61,False,True,True,2,1,1,1,1,1
25,65,5,2,3,68,False,True,True,2,1,1,1,1,1
13,72,6,1,3,61,False,True,True,0,1,0,0,1,0
21,65,7,2,3,64,True,True,True,1,0,0,1,2,0
8,99,9,2,5,67,False,True,True,1,1,0,0,1,2
12,72,8,1,5,63,True,True,True,0,1,1,0,1,0
21,65,6,1,4,64,True,True,True,0,1,0,1,2,0
24,68,8,3,1,67,False,True,True,2,1,0,2,2,1
21,84,6,1,2,65,True,True,True,1,1,0,1,2,1
19,63,7,1,3,64,False,True,False,0,2,1,1,1,0
18,94,7,3,2,70,True,True,False,1,2,1,1,1,1
11,98,9,1,3,68,True,True,False,1,1,0,1,1,2
16,70,8,2,3,65,True,True,True,1,1,1,1,1,0
17,78,6,1,3,68,True,True,False,1,1,1,1,2,1
26,61,6,2,3,64,True,True,True,1,0,1,0,1,0
22,86,7,3,2,68,True,True,True,0,1,0,0,2,0
9,77,5,2,3,63,False,True,True,1,1,1,1,2,0
22,71,7,1,4,64,True,True,True,0,1,0,1,0,1
18,68,7,0,3,64,False,True,True,2,1,1,1,1,1
16,86,8,2,4,67,True,True,True,0,1,1,1,1,0
24,77,8,0,3,67,False,True,True,2,0,1,1,1,0
26,67,7,2,4,66,True,True,False,1,2,0,2,2,2
26,88,5,1,4,72,True,True,False,1,2,1,0,2,1
15,83,5,1,2,65,False,False,True,1,2,0,1,2,0
18,94,6,1,4,71,True,True,True,1,1,2,1,1,0
22,65,8,2,1,66,False,True,True,2,0,1,1,2,2
26,91,8,0,3,68,True,True,False,1,0,1,0,1,0
17,87,7,1,5,70,False,True,True,1,1,1,2,1,2
19,65,10,0,3,62,True,True,True,1,1,0,0,1,0
13,88,9,2,4,68,True,True,False,0,2,2,0,2,2
13,78,9,2,3,67,True,True,True,1,2,2,0,1,1
25,98,8,0,3,71,True,False,False,0,2,1,1,2,2
28,66,8,0,2,68,True,True,True,1,2,1,1,1,0
20,86,8,1,3,69,True,True,True,1,1,1,0,1,2
26,75,4,3,2,70,True,True,False,0,2,2,1,2,0
22,98,5,1,4,69,False,False,True,1,2,0,0,2,0
16,73,7,1,4,65,False,True,True,1,1,1,0,1,1
22,98,7,3,3,70,True,False,True,1,0,1,1,1,1
29,96,7,1,3,71,True,True,True,1,0,1,0,1,0
20,71,7,1,4,65,True,True,True,1,1,1,0,0,1
29,92,4,2,1,72,False,True,True,0,1,1,1,1,2
4,100,8,0,4,69,True,True,False,2,2,2,1,2,1
25,70,7,1,3,66,False,True,True,1,1,1,1,1,2
21,77,7,4,3,68,True,True,False,0,1,1,1,1,2
18,81,8,0,3,65,True,True,True,2,0,1,1,1,0
21,72,5,1,5,64,True,True,True,1,1,1,2,1,1
8,61,7,1,3,60,True,True,True,1,1,1,2,1,1
19,69,7,1,2,65,True,True,True,1,2,2,0,1,0
22,71,6,1,3,66,False,True,True,2,1,2,0,0,0
29,78,4,5,3,74,True,True,True,2,2,0,1,2,1
17,67,5,2,3,62,True,True,False,1,1,2,1,1,0
15,95,7,2,4,70,False,True,True,1,1,1,0,1,1
17,88,7,0,3,69,True,True,True,1,2,0,1,1,0
25,63,7,3,4,67,True,True,False,1,2,1,1,2,1
22,86,6,2,0,64,False,True,True,0,0,1,1,1,0
17,86,5,3,3,71,False,True,True,1,2,2,2,1,1
23,98,7,0,3,68,True,True,True,1,0,0,1,1,1
21,60,7,0,4,64,False,True,True,2,1,1,1,2,1
26,70,8,1,4,63,True,True,False,1,0,1,1,0,0
16,97,6,0,4,71,True,True,False,1,1,0,2,1,1
18,97,4,0,3,69,True,True,True,2,1,0,0,1,0
18,89,4,3,2,100,True,True,False,2,1,1,2,1,1
11,91,6,3,3,68,False,True,True,1,1,1,1,1,1
22,64,7,1,3,62,False,False,True,0,1,0,1,1,0
22,81,7,2,3,68,True,True,True,1,1,0,1,1,2
20,69,6,2,3,66,True,True,False,2,2,1,0,1,0
19,67,5,0,3,64,False,True,True,0,1,2,1,1,1
12,92,4,2,3,67,False,True,True,1,1,2,1,2,0
17,65,8,1,4,65,True,True,True,1,2,1,2,2,2
18,79,7,0,3,65,True,True,False,1,1,1,0,2,1
15,98,6,0,3,69,False,True,True,2,1,2,0,2,1
19,67,5,1,3,63,False,True,False,1,1,2,0,0,0
22,99,6,3,4,72,True,True,True,1,0,0,1,1,2
